LocationID,Zone,ZCTA_IDs,intersection_shares,medincome,total_pop1,fpl_100,fpl_100to150,median_rent,total_hholds1,hholds_snap,over16total_industry1,ag_industry,construct_industry,transpo_and_utilities_industry,total_commute1,drove_commute,pubtrans_bus_commute,pubtrans_subway_commute,pubtrans_railroad_commute,pubtrans_ferry_commute,taxi_commute,bicycle_commute,walked_commute,workhome_commute,unemployed,under19_noinsurance,age19_34_noinsurance,age35_64_noinsurance,age65plus_noinsurance,hisplat_raceethnic,nonhispLat_white_raceethnic,nonhispLat_black_raceethnic,nonhispLat_amerindian_raceethnic,nonhispLat_asian_raceethnic,age65_plus,fpl_150,not_insured,no_vehicles,time_to_work,median_age,park_coverage,beach_coverage,park_area,beach_area
77.0,East New York/Pennsylvania Avenue,"11207, 11212","0.9898183484591918, 0.01018165154082576",39273.11746460243,90951.96167616177,25673.99253388443,8824.358508672287,1216.6548897982173,33603.61709300852,33.9963542384772,38492.15472761774,0.328306779637702,5.180941271061706,11.279502033753753,37295.15772757647,23.193829745540057,8.799103390506641,58.486663558587615,1.0647410170144342,0.0594920338913106,0.2320318644347576,0.8555129660399103,3.4892927122677557,3.211618559206625,9.590607289107824,653.5024999656105,2663.579694868158,2604.470101756466,112.22858474891022,31.52476635448318,4.942315847076428,58.94824144271918,0.1686454237101616,1.774243050768187,1078.9820678101328,37.94330644182506,6.639820678101327,60.93226051002036,44.91779881352901,35.22624491561562,0.0,0.0,0.0,0.0
78.0,East Tremont,"10457, 10458, 10460, 10462","0.3902056111262128, 0.002653916652613791, 0.5750375842882085, 0.025461833052974014",29348.8444979118,66858.98297118372,23627.595479830543,9946.075636403808,1143.1663240583937,22841.04354117872,49.499265199304496,26215.90951073895,0.0138175643245603,4.585306271557517,8.736527333005014,25102.10762918613,23.11995951095009,21.68463221755912,41.88514357434848,1.6852124171609275,0.0,1.195536766171324,0.310722269868644,6.092473862921798,3.224507366488309,13.405391075132272,535.9380648877485,2516.8714308526582,3007.700233479908,120.25745523103654,67.42536315039693,2.352342582602586,27.22096640128545,0.082145841087606,1.5317078206299026,812.6776642194086,50.218538577375845,9.218288856336311,65.39272168497354,41.26798510487564,31.494242975740924,2.025469635340112,0.0,3.870964536762011e-06,0.0
81.0,Eastchester,"10469, 10466, 10475, 10461, 10464","0.4213740461033379, 0.45312887351745756, 0.06301149332103792, 1.0078142233426637e-06, 0.05633757571816236",61446.833759927125,72282.96729589097,11760.142770502196,5885.481100699065,1364.4464017381326,23052.040932956075,23.13223544451897,32885.382691767125,0.0466936286931806,4.999379694137597,8.419798208099273,31836.855472904805,44.89399315892623,12.67015791317922,31.22275553919062,2.4364525802178094,0.0,1.0980353192158934,0.3873098686799303,4.84497103894935,1.81738542359618,9.483486341072677,523.445639482607,1804.1762709252653,2515.8269969757257,183.77503708738317,26.244005842406214,6.506011879581337,60.06557421545306,0.3122191092469547,4.315287123970094,1741.9475645334685,24.28123667397124,6.913002885585272,36.877887153995374,,38.717750473810256,7.108601479370208,0.0,2.8403593697874848e-05,0.0
87.0,Financial District North,"10005, 10007, 10006, 10038, 10004","0.4330955196377279, 0.00024080009353955013, 9.344213939036835e-05, 0.5015489988153516, 0.03278663972863141",119130.5158129232,19632.827521529365,3307.971951740388,1250.4648388458002,2742.340840918446,8923.230431559197,13.92079979824684,11180.318809785253,0.0169403954550116,1.4260789251210857,2.081784238818082,11047.105494372336,6.062031178571001,0.8740899563944797,52.12416223107101,1.042987652335234,0.3917245052210441,1.3331996062387557,2.276699906833734,29.78225871825072,5.324463793011927,4.822101132251726,123.851818402674,311.5115607059976,241.54084305884248,76.82760025417237,10.350934078247615,53.74254499408833,5.541162768963829,0.1877097906980761,26.360732190975856,318.4460853522055,21.23782794555987,3.6526237801795713,80.68491515879288,24.93316557394732,34.70534054999822,0.0,0.0,0.0,0.0
82.0,Elmhurst,"11378, 11379, 11373, 11372, 11368, 11374, 11377","4.103550570992663e-06, 0.0006331352143351547, 0.9865988858572308, 0.0004372226992413296, 0.007969272638147402, 0.004250326124201305, 0.00010705391627009137",54614.10665042267,94479.61761880874,12345.260276586629,12043.108445055688,1544.9733976026505,30243.15335723417,16.30555032319724,50030.53958859712,0.1593382605974242,8.414743107587844,7.691712248904395,47784.35217531059,19.292583645959382,6.394525155438951,61.84782007195199,1.5610690135772427,0.0,0.4410565937037906,0.6026502089619281,7.085167352619504,2.0731249702127714,4.268731852430356,346.6816294970772,6048.285314395891,7972.557519170663,242.40472657413108,41.97014487314557,6.249300263130105,1.676369476572125,0.3368105638716733,48.06835522219834,2047.2726696105683,25.790968283309176,15.434737354273867,57.95765505523258,40.164874958568944,38.15970198623446,1.6687363445879426,0.0,5.40004883333898e-06,0.0
83.0,Elmhurst/Maspeth,"11378, 11373, 11372, 11377","4.837972591931313e-05, 0.40148313803884167, 0.018805256551790602, 0.5796632256834413",57084.56045985144,88129.76744080907,10409.511114724764,10218.088932062972,1525.3387897840475,30777.06683554512,11.539727246595383,46618.56110694169,0.3054182178556769,7.505037629549972,10.166551860051287,45292.65723006168,22.157486778102378,5.454298768458124,59.77589609654734,1.554584264781158,0.0,0.5936659393475082,0.7873109345710981,6.632125142983783,2.297042046077873,4.104571036220186,315.06383882913974,4125.901334343069,6330.063993238344,215.61724611648413,39.59724172554693,14.385773238654458,1.950818216647868,0.2313445029031662,41.65665982570226,1954.205739836192,23.28135593377778,12.305401509969204,51.53716542806624,37.43131285380974,39.50682764331088,0.06178394965163007,0.0,1.3435767448329154e-07,0.0
84.0,Eltingville/Annadale/Prince's Bay,"10309, 10307, 10312","0.26468524585589953, 0.0415342478356081, 0.669427498793166",99398.0608409505,55967.604663473365,3326.741096660161,2581.521450309757,1304.4515410724623,19381.6522295116,4.041399410129485,25881.23114215961,0.036919455726333,7.571674918496346,7.281884674324186,25504.637853207278,73.19281863033864,16.688304819342612,2.614511163305888,1.1386104184418344,1.9669102664999063,0.0177694214907402,0.0304175786930726,1.0304351353871717,2.8456717374533094,4.334742919032468,181.7793884548865,329.3009800672539,543.5688777322677,126.06919555175168,11.028918705963196,81.90556172726545,0.7691275822554602,0.1764100580347389,4.961590259424576,1736.408376244702,10.492477142614105,2.1067720958095166,6.071664056275562,44.612899053246814,41.41254281703774,13.028276106005812,0.1743707239997326,0.0002701746210334358,3.6160228638565957e-06
88.0,Financial District South,"10005, 10006, 10038, 10004","0.08621038811068184, 3.668845420061482e-05, 0.0004179909394820206, 0.9030014723146622",189874.8422290874,4453.8540724371205,209.52058127579068,52.19772171818862,3328.332210929799,2313.767818982752,0.0478988695914757,3291.8907797108764,0.0139224148692269,0.949765086252708,1.1182073140509596,3283.086954144849,5.271571573330649,0.3383646989168558,50.959649702441496,1.6306081051165766,0.3532215004404589,0.8963171476468439,0.1755610554888414,29.72057582264137,10.651417374039951,3.523042368006914,30.32204040013371,66.36624841462017,63.39112033030684,0.4624129300035482,3.878674984293114,61.715050170270885,3.3910453492758523,0.0006458855122906,26.806321097609025,74.3450707973627,3.934579404683764,3.927098359478459,80.38145083342933,23.202216755451207,35.98440546944647,1.1581837864819902,0.0,6.636386789235049e-07,0.0
89.0,Flatbush/Ditmas Park,"11225, 11226, 11230, 11218, 11210","6.163026540331856e-05, 0.36535176834569755, 0.26794485149229474, 0.1119765813327217, 0.2546631239858158",60481.05111697372,86413.51398089077,14215.786046447403,10199.5185581637,1428.6218161705633,31066.898695074597,21.724524522010505,40703.0279090432,0.0562776777442038,4.626921806227588,7.73270177292904,39793.50233528061,23.70043645550253,11.17635672786587,49.01250031655676,1.1349815527615772,0.0558083984549131,0.7893817015326353,1.0657788745763064,8.035144735327863,4.075775571592391,5.980525435893915,556.7703899653121,3124.6486888442223,3527.120564798897,192.2827146076141,12.861225713134807,34.7493412963204,41.8339381401511,0.1865210487029703,7.539445558398693,2347.040246684655,27.96429373656787,8.294010445868897,54.30737799320189,41.29422028560006,34.76517912146544,0.21093925538890915,0.0,9.440547190285012e-07,0.0
90.0,Flatiron,"10010, 10011, 10001","1.3990363879501495e-05, 0.8797962024422946, 0.12018980719390943",135460.70125618656,48350.41646629206,4731.306897618266,1383.7577871053777,2219.9389890935163,28093.127324500147,6.325642109525314,32530.99656285812,0.1918543030296106,0.5836512476823186,0.886654439703478,31778.15217877129,6.230083080043937,1.9447600283024755,50.162198867209725,1.4718798402765971,0.2268042227018114,3.4364601727765693,2.7135206169135317,25.789551508894775,7.10553705013318,3.837147950918389,90.24565537978638,455.5967075480348,669.847124418513,0.0006219700864242,12.151509039376265,71.27844764939356,3.957625067993123,0.0043314612082578,9.61667036264295,2842.758933358225,12.83807103943211,2.5352819441144034,78.97234437860817,22.27643858214188,41.12148243586877,0.0,0.0,0.0,0.0
