STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyMaximumDryBulbTemperature,DailyPrecipitation,DailySnowDepth,DailySnowfall,Sunrise,Sunset,daylight_time
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-02,3.13,,0.0,0.0,1.2,,56,39,,360.0,360.0,10.1,15.0,,,,,,,1.0,SOD  ,34.0,48.0,65.0,41.0,3.1,56.0,0.0,1.0,0.0,07:05:00,17:14:00,609
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-03,6.71,,1.17,8.0,1.2,,43,27,,20.0,20.0,10.1,16.1,,,,,,,,SOD  ,28.0,35.0,86.0,31.0,6.7,43.0,1.17,1.0,8.0,07:04:00,17:16:00,612
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-04,2.24,,0.0,0.0,7.9,,35,22,,60.0,,6.9,,,,,,,,1.0,SOD  ,21.0,29.0,72.0,26.0,2.2,35.0,0.0,8.0,0.0,07:03:00,17:17:00,614
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-05,7.16,,1.43,4.0,9.1,,34,29,,60.0,70.0,15.0,28.0,,,,,,,,SOD  ,28.0,32.0,88.0,31.0,7.1,34.0,1.43,9.0,4.0,07:02:00,17:18:00,616
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-06,4.03,,0.0,0.0,9.1,,32,21,,310.0,310.0,13.0,19.0,,,,,,,,SOD  ,,27.0,66.0,,4.0,32.0,0.0,9.0,0.0,07:01:00,17:19:00,618
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-07,6.71,,0.0,0.0,9.1,,32,24,,280.0,270.0,15.0,23.9,,,,,,,,SOD  ,13.0,28.0,52.0,24.0,6.8,32.0,0.0,9.0,0.0,07:00:00,17:21:00,621
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-08,4.92,,0.0,0.0,9.1,,29,21,,280.0,270.0,12.1,17.0,,,,,,,,SOD  ,4.0,25.0,40.0,20.0,5.0,29.0,0.0,9.0,0.0,06:59:00,17:22:00,623
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-09,3.58,,0.1,1.2,7.9,,31,21,,270.0,270.0,12.1,19.9,,,,,,,,SOD  ,11.0,26.0,56.0,22.0,3.5,31.0,0.1,8.0,1.2,06:58:00,17:23:00,625
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-10,7.16,,0.0,0.0,9.8,,29,21,,310.0,320.0,15.0,25.9,,,,,,,,SOD  ,9.0,25.0,50.0,20.0,7.2,29.0,0.0,10.0,0.0,06:57:00,17:24:00,627
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-11,5.37,,0.0,0.0,9.8,,26,16,,280.0,270.0,14.1,19.9,,,,,,,,SOD  ,3.0,21.0,47.0,17.0,5.3,26.0,0.0,10.0,0.0,06:55:00,17:26:00,631
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-12,5.82,,0.0,0.0,9.8,,25,13,,60.0,50.0,14.1,19.0,,,,,,,,SOD  ,5.0,19.0,53.0,16.0,5.8,25.0,0.0,10.0,0.0,06:54:00,17:27:00,633
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-13,12.53,,1.78,9.5,11.8,,36,24,,60.0,80.0,25.1,38.9,,,,,,,,SOD  ,29.0,30.0,87.0,31.0,12.6,36.0,1.78,12.0,9.5,06:53:00,17:28:00,635
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-14,10.51,,0.3,3.0,18.1,,40,31,,290.0,280.0,21.9,38.0,,,,,,,,SOD  ,25.0,36.0,63.0,32.0,10.4,40.0,0.3,18.0,3.0,06:52:00,17:29:00,637
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-15,9.4,,0.13,1.6,18.1,,37,27,,60.0,310.0,18.1,29.1,,,,,,,,SOD  ,24.0,32.0,67.0,30.0,9.3,37.0,0.13,18.0,1.6,06:50:00,17:30:00,640
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-16,8.95,,0.0,0.0,18.1,,30,21,,310.0,300.0,18.1,31.1,,,,,,,,SOD  ,9.0,26.0,50.0,20.0,9.0,30.0,0.0,18.0,0.0,06:49:00,17:32:00,643
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-17,5.37,,0.0,0.0,16.9,,32,18,,310.0,300.0,16.1,23.9,,,,,,,,SOD  ,2.0,25.0,38.0,19.0,5.4,32.0,0.0,17.0,0.0,06:48:00,17:33:00,645
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-18,5.14,,0.16,1.5,18.1,,39,26,,280.0,280.0,16.1,30.0,,,,,,,,SOD  ,22.0,33.0,66.0,29.0,5.1,39.0,0.16,18.0,1.5,06:46:00,17:34:00,648
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-19,5.14,,0.26,0.0,16.9,,45,34,,150.0,290.0,16.1,25.9,,,,,,,,SOD  ,30.0,40.0,69.0,36.0,5.2,45.0,0.26,17.0,0.0,06:45:00,17:35:00,650
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-20,4.92,,0.03,0.0,15.0,,51,37,,160.0,180.0,14.1,19.9,,,,,,,,SOD  ,27.0,44.0,57.0,36.0,5.0,51.0,0.03,15.0,0.0,06:44:00,17:36:00,652
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-21,7.38,,0.09,0.0,13.0,,49,36,,290.0,290.0,21.0,32.0,,,,,,,,SOD  ,36.0,43.0,87.0,38.0,7.3,49.0,0.09,13.0,0.0,06:42:00,17:38:00,656
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-22,7.16,,0.0,0.0,9.8,,54,40,,260.0,260.0,17.0,29.1,,,,,,,,SOD  ,24.0,47.0,40.0,38.0,7.2,54.0,0.0,10.0,0.0,06:41:00,17:39:00,658
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-23,5.37,,0.0,0.0,9.1,,54,43,,290.0,300.0,18.1,30.0,,,,,,,,SOD  ,27.0,49.0,44.0,39.0,5.4,54.0,0.0,9.0,0.0,06:39:00,17:40:00,661
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-24,9.4,,0.0,0.0,5.9,,44,27,,320.0,280.0,17.0,28.0,,,,,,,,SOD  ,13.0,36.0,40.0,28.0,9.3,44.0,0.0,6.0,0.0,06:38:00,17:41:00,663
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-25,6.93,,0.0,0.0,5.9,,33,24,,280.0,280.0,18.1,27.1,,,,,,,,SOD  ,9.0,29.0,44.0,23.0,7.0,33.0,0.0,6.0,0.0,06:36:00,17:42:00,666
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-26,5.37,,0.03,0.2,5.9,,31,20,,320.0,300.0,17.0,29.1,,,,,,,1.0,SOD  ,7.0,26.0,46.0,21.0,5.4,31.0,0.03,6.0,0.2,06:35:00,17:43:00,668
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-27,8.5,,0.0,0.0,5.9,,34,14,,290.0,290.0,21.0,38.9,,,,,,,1.0,SOD  ,1.0,24.0,37.0,19.0,8.4,34.0,0.0,6.0,0.0,06:33:00,17:45:00,672
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-28,4.7,,0.0,0.0,5.9,,24,9,,280.0,330.0,15.0,25.1,,,,,,,,SOD  ,-6.0,17.0,34.0,12.0,4.7,24.0,0.0,6.0,0.0,06:32:00,17:46:00,674
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-01,4.47,,0.0,0.0,5.9,,37,20,,260.0,260.0,12.1,16.1,,,,,,,,SOD  ,10.0,29.0,43.0,24.0,4.4,37.0,0.0,6.0,0.0,06:30:00,17:47:00,677
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-02,3.8,,0.0,0.0,5.1,,40,32,,260.0,250.0,13.0,19.9,,,,,,,1.0,SOD  ,18.0,36.0,46.0,30.0,3.8,40.0,0.0,5.0,0.0,06:29:00,17:48:00,679
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-03,6.71,,0.04,0.1,5.1,,32,17,,360.0,340.0,16.1,23.9,,,,,,,1.0,SOD  ,4.0,25.0,45.0,18.0,6.8,32.0,0.04,5.0,0.1,06:27:00,17:49:00,682
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-04,4.7,,0.0,0.0,5.1,,29,13,,40.0,40.0,13.0,19.0,,,,,,,,SOD  ,1.0,21.0,41.0,17.0,4.7,29.0,0.0,5.0,0.0,06:26:00,17:50:00,684
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-05,5.14,,0.0,0.0,3.9,,39,26,,30.0,40.0,17.0,25.1,,,,,,,,SOD  ,7.0,33.0,36.0,24.0,5.1,39.0,0.0,4.0,0.0,06:24:00,17:51:00,687
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-06,8.5,,0.0,0.0,3.9,,31,16,,50.0,10.0,17.0,23.0,,,,,,,,SOD  ,4.0,24.0,42.0,19.0,8.5,31.0,0.0,4.0,0.0,06:23:00,17:53:00,690
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-07,7.83,,0.0,0.0,3.9,,37,26,,60.0,50.0,16.1,21.9,,,,,,,1.0,SOD  ,22.0,32.0,66.0,29.0,7.9,37.0,0.0,4.0,0.0,06:21:00,17:54:00,693
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-08,5.82,,0.0,0.0,3.1,,57,35,,290.0,290.0,17.0,27.1,,,,,,,,SOD  ,27.0,46.0,51.0,37.0,5.9,57.0,0.0,3.0,0.0,06:19:00,17:55:00,696
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-09,6.26,,0.0,0.0,2.0,,44,36,,320.0,310.0,15.0,21.9,,,,,,,,SOD  ,15.0,40.0,38.0,32.0,6.3,44.0,0.0,2.0,0.0,06:18:00,17:56:00,698
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-10,5.37,,0.0,0.0,1.2,,51,36,,260.0,250.0,15.0,28.0,,,,,,,1.0,SOD  ,23.0,44.0,46.0,36.0,5.4,51.0,0.0,1.0,0.0,06:16:00,17:57:00,701
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-11,4.7,,0.0,0.0,0.0,,66,45,,250.0,250.0,13.0,21.9,,,,,,,,SOD  ,32.0,56.0,40.0,45.0,4.7,66.0,0.0,0.0,0.0,06:15:00,17:58:00,703
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-12,5.37,,0.35,0.0,0.0,,56,32,,310.0,320.0,19.9,35.1,,,,,,,,SOD  ,39.0,44.0,69.0,45.0,5.3,56.0,0.35,0.0,0.0,06:13:00,17:59:00,706
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-13,14.09,,0.0,0.0,0.0,,32,18,,310.0,320.0,23.0,40.0,,,,,,,,SOD  ,1.0,25.0,38.0,18.0,14.1,32.0,0.0,0.0,0.0,06:11:00,18:00:00,709
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-14,5.59,,0.0,0.0,0.0,,46,22,,260.0,250.0,14.1,23.0,,,,,,,,SOD  ,11.0,34.0,38.0,27.0,5.5,46.0,0.0,0.0,0.0,06:10:00,18:01:00,711
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-15,8.95,,0.0,0.0,0.0,,58,42,,290.0,300.0,21.0,33.1,,,,,,,,SOD  ,24.0,50.0,35.0,40.0,9.0,58.0,0.0,0.0,0.0,06:08:00,18:02:00,714
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-16,7.61,,0.0,0.0,0.0,,42,30,,310.0,310.0,16.1,28.0,,,,,,,,SOD  ,7.0,36.0,32.0,26.0,7.5,42.0,0.0,0.0,0.0,06:06:00,18:03:00,717
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-17,8.05,,0.0,0.0,0.0,,35,23,,40.0,10.0,15.0,23.0,,,,,,,,SOD  ,3.0,29.0,33.0,22.0,8.1,35.0,0.0,0.0,0.0,06:05:00,18:05:00,720
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-18,6.93,,0.0,0.0,0.0,,43,28,,60.0,60.0,19.9,25.1,,,,,,,,SOD  ,10.0,36.0,38.0,27.0,7.0,43.0,0.0,0.0,0.0,06:03:00,18:06:00,723
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-19,7.16,,0.92,0.0,0.0,,46,32,,110.0,130.0,15.0,21.0,,,,,,,,SOD  ,31.0,39.0,76.0,36.0,7.2,46.0,0.92,0.0,0.0,06:01:00,18:07:00,726
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-20,8.05,,0.0,0.0,0.0,,54,40,,280.0,280.0,19.9,32.0,,,,,,,,SOD  ,30.0,47.0,57.0,39.0,8.1,54.0,0.0,0.0,0.0,06:00:00,18:08:00,728
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-21,7.61,,0.0,0.0,0.0,,51,39,,310.0,280.0,16.1,29.1,,,,,,,,SOD  ,18.0,45.0,35.0,35.0,7.5,51.0,0.0,0.0,0.0,05:58:00,18:09:00,731
